Drug,Primary Indication,Virus,Virus Group,Cell lines,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Approved,Phase IV,Potential target,Mode_of_action,Reference,Virus Family,Virus Name,Viral Strain/Type,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,InChI_Key,Approval Status,Negative Result?
Cidofovir,Antiviral,HSV-2,dsDNA,,,,*,*,,,,Viral DNA pol,Viral DNA polymerase inhibitor,NCT00002116;  NCT01610765,Herpesviridae,Human alphaherpesvirus 2,,Genital herpes,12,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,HPV,dsDNA,,,,,*,,,,Viral DNA pol,Viral DNA polymerase inhibitor,NCT00550589,Papillomaviridae,,,,,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,HAdV-5,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:30287226,Adenoviridae,Human mastadenovirus C,Human adenovirus C5,Respiratory disease,73,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,B19V,ssDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:25446336,Parvoviridae,Primate erythroparvovirus 1,,Erythema infectiosum,33,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,EBV,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:30287227,Herpesviridae,Human gammaherpesvirus 4,,Infectious mononucleosis,12,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,HCV,(+)ssRNA,*,,,,,,,,Viral RNA pol,Viral DNA polymerase inhibitor,doi: 10.3389/fimmu.2019.02186,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,HHV-6,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:30287227,Herpesviridae,Human betaherpesvirus 6,,Exanthema subitum,12,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,JCV,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:30287227,Polyomaviridae,Human polyomavirus 2,,Progressive multifocal leukoencephalopathy,-1,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,KSHV,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:30287227,Herpesviridae,Human gammaherpesvirus 8,,Kaposi's sarcoma,12,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,MCV,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:21994641,Poxviridae,Molluscum contagiosum virus,,Molluscum contagiosum,5,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Cidofovir,Antiviral,VZV,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA polymerase inhibitor,PMID:30287226,Herpesviridae,Human alphaherpesvirus 3,,Chickenpox (varicella),12,DB00369,60613,FPKARFMSZDBYQF-ILKKLZGPSA-N,Approved,
Clarithromycin,Antibiotic,FLUAV,(-)ssRNA,,,,,*,,,,Human ion channel,Prevent viral entry,PMID: 22178990,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB01211,84029,AGOYDEPGAOXOCK-KCBOHYOISA-N,Approved,
Clarithromycin,Antibiotic,RSV,(-)ssRNA,,,,,*,,,,Human ion channel,Prevent viral entry,PMID: 17050564,Pneumoviridae,Human orthopneumovirus,,Lower respiratory tract infections,24,DB01211,84029,AGOYDEPGAOXOCK-KCBOHYOISA-N,Approved,
Clarithromycin,Antibiotic,HRV-B14,(+)ssRNA,,*,,,,,,,Human ion channel,Prevent viral entry,PMID: 28861755,Picornaviridae,Rhinovirus B,Rhinovirus B14,Common cold ,86,DB01211,84029,AGOYDEPGAOXOCK-KCBOHYOISA-N,Approved,
Clofazimine,Antibiotic,RABV,(-)ssRNA,,,*,,,,,,Viral RNA pol,Non-nucleoside RT inhibitor,PMID: 33815101,Rhabdoviridae,Rabies lyssavirus,,Rabies ,11,DB00845,2794,WDQPAMHFFCXSNU-UHFFFAOYSA-N,Approved,
Clofazimine,Antibiotic,SARS-CoV-2,(+)ssRNA,,,*,,,,,,Viral RNA pol,Non-nucleoside RT inhibitor,PMID: 33727703,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00845,2794,WDQPAMHFFCXSNU-UHFFFAOYSA-N,Approved,
Clofazimine,Antibiotic,ZIKV,(+)ssRNA,*,,,,,,,,Viral RNA pol,Non-nucleoside RT inhibitor,PMID: 33887282,Flaviviridae,Zika virus,,Zika virus disease,2,DB00845,2794,WDQPAMHFFCXSNU-UHFFFAOYSA-N,Approved,
Clomipramine,Antidepressant,EBOV,(-)ssRNA,*,,,,,,,,Human (multiple),N/A,PMID: 29741894,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,DB01242,2801,GDLIGKIOYRNHDA-UHFFFAOYSA-N,Approved,
Clomipramine,Antidepressant,MERS-CoV,(+)ssRNA,*,,,,,,,,Human (multiple),N/A,PMID: 24841273,Coronaviridae,Middle East respiratory syndrome-related coronavirus,,Middle East respiratory syndrome,8,DB01242,2801,GDLIGKIOYRNHDA-UHFFFAOYSA-N,Approved,
Clomipramine,Antidepressant,SARS-CoV,(+)ssRNA,*,,,,,,,,Human (multiple),N/A,PMID: 24841273,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,,Severe acute respiratory syndrome,8,DB01242,2801,GDLIGKIOYRNHDA-UHFFFAOYSA-N,Approved,
Clotrimazole,Antifungal,ZIKV,(+)ssRNA,,,*,,,,,,Human cytochrome P450,Block Viral Entry (KCa3.1 antagonist),PMID: 31430351,Flaviviridae,Zika virus,,Zika virus disease,2,DB00257,2812,VNFPBHJOKIVQEB-UHFFFAOYSA-N,Approved,
Clotrimazole,Antifungal,MACV,(-)ssRNA,*,,,,,,,,Human cytochrome P450,Block Viral Entry (KCa3.1 antagonist),PMID: 30626681,Arenaviridae,Machupo mammarenavirus,,Bolivian hemorrhagic fever,0,DB00257,2812,VNFPBHJOKIVQEB-UHFFFAOYSA-N,Approved,
Clotrimazole,Antifungal,VSV,(-)ssRNA,*,,,,,,,,Human cytochrome P450,Block Viral Entry (KCa3.1 antagonist),PMID: 30626681,Rhabdoviridae,Indiana vesiculovirus,,Vesicular stomatitis,11,DB00257,2812,VNFPBHJOKIVQEB-UHFFFAOYSA-N,Approved,
Clozapine,Antipsychotic,HIV-1,ssRNA-RT,*,,,,,,,,Unknown,Unknown,PMID: 9176928,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB00363,135398737,QZUDBNBUXVUHMW-UHFFFAOYSA-N,Approved,
Clozapine,Antipsychotic,JCV,dsDNA,*,,,,,,,,Unknown,Unknown,PMID: 12709869,Polyomaviridae,Human polyomavirus 2,,Progressive multifocal leukoencephalopathy,-1,DB00363,135398737,QZUDBNBUXVUHMW-UHFFFAOYSA-N,Approved,
CR-31-B (_),N/A,LASV,(-)ssRNA,,,,,,,,,Human ATPase,Prevents mRNA translation,PMID: 31931103,Arenaviridae,Lassa mammarenavirus,,Lassa hemorrhagic fever,0,N/A,N/A,N/A,Experimental,
CR-31-B (_),N/A,CCHFV,(-)ssRNA,,,,,,,,,Human ATPase,Prevents mRNA translation,PMID: 31931103,Nairoviridae,Crimean-Congo hemorrhagic fever orthonairovirus,,Crimean-Congo hemorrhagic fever,1,N/A,N/A,N/A,Experimental,
CR-31-B (_),N/A,SARS-CoV-2,(+)ssRNA,,,,,,,,,Human ATPase,Prevents mRNA translation,PMID: 33422611,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,N/A,N/A,N/A,Experimental,
CR-31-B (_),N/A,HCoV-229E,(+)ssRNA,,,,,,,,,Human ATPase,Prevents mRNA translation,PMID: 31931103,Coronaviridae,Human coronavirus 229E,,Common cold,8,N/A,N/A,N/A,Experimental,
CR-31-B (_),N/A,MERS-CoV,(+)ssRNA,,,,,,,,,Human ATPase,Prevents mRNA translation,PMID: 31931103,Coronaviridae,Middle East respiratory syndrome-related coronavirus,,Middle East respiratory syndrome,8,N/A,N/A,N/A,Experimental,
CR-31-B (_),N/A,ZIKV,(+)ssRNA,,,,,,,,,Human ATPase,Prevents mRNA translation,PMID: 31931103,Flaviviridae,Zika virus,,Zika virus disease,2,N/A,N/A,N/A,Experimental,
Cucurbit[7]uril,N/A,EV-A71,(+)ssRNA,*,,,,,,,,Human polyamines,Competitive binding of polyamines,PMID: 34037947,Picornaviridae,Enterovirus A,Enterovirus A71,"Acute flaccid myelitis (polio-like disorder); Gastroenteritis; Hand, foot, and mouth disease",9,N/A,6096207,ZDOBFUIMGBWEAB-UHFFFAOYSA-N,Experimental,
Cucurbit[7]uril,N/A,CV-A16,(+)ssRNA,*,,,,,,,,Human polyamines,Competitive binding of polyamines,PMID: 34037947,Picornaviridae,Enterovirus A,Coxsackievirus A16,"Hand, foot, and mouth disease",9,N/A,6096207,ZDOBFUIMGBWEAB-UHFFFAOYSA-N,Experimental,
Cucurbit[7]uril,N/A,ECHOV-11,(+)ssRNA,*,,,,,,,,Human polyamines,Competitive binding of polyamines,PMID: 34037947,Picornaviridae,Enterovirus B,Echovirus E11,Fever; diarrhea; rash; jaundice; congested nose; cough; headache,9,N/A,6096207,ZDOBFUIMGBWEAB-UHFFFAOYSA-N,Experimental,
Cucurbit[7]uril,N/A,CVB-3,(+)ssRNA,*,,,,,,,,Human polyamines,Competitive binding of polyamines,PMID: 34037947,Picornaviridae,Enterovirus B,Coxsackievirus B3,Fever; headache; sore throat; gastroenteritis; pericarditis; myocarditis,9,N/A,6096207,ZDOBFUIMGBWEAB-UHFFFAOYSA-N,Experimental,
Cucurbit[7]uril,N/A,ZIKV,(+)ssRNA,*,,,,,,,,Human polyamines,Competitive binding of polyamines,PMID: 34037947,Flaviviridae,Zika virus,,Zika virus disease,2,N/A,6096207,ZDOBFUIMGBWEAB-UHFFFAOYSA-N,Experimental,
Cucurbit[7]uril,N/A,DENV-2,(+)ssRNA,*,,,,,,,,Human polyamines,Competitive binding of polyamines,PMID: 34037947,Flaviviridae,Dengue virus,Dengue virus 2,Dengue fever,2,N/A,6096207,ZDOBFUIMGBWEAB-UHFFFAOYSA-N,Experimental,
Cucurbit[7]uril,N/A,SFV,(+)ssRNA,*,,,,,,,,Human polyamines,Competitive binding of polyamines,PMID: 34037947,Togaviridae,Semliki Forest virus,,"Encephalitis, mild symptoms",6,N/A,6096207,ZDOBFUIMGBWEAB-UHFFFAOYSA-N,Experimental,
Cyclosporine,Immunosuppressant,HCV,(+)ssRNA,*,,,,*,*,,*,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:16382464; NCT00821587,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,HIV-1,ssRNA-RT,*,,,*,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,NCT00979706,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,Negative
Cyclosporine,Immunosuppressant,CMV,dsDNA,*,,,,,,,*,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:22238232; NCT02328963,Herpesviridae,Human betaherpesvirus 5,,Mononucleosis-like illness,12,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,SARS-CoV-2,(+)ssRNA,,,,,,,,*,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,NCT04392531,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,MERS-CoV,(+)ssRNA,*,*,,,,,,,Human CYPs,Calcineurin inhibitor allows for inhibition of T cell activation,PMID:29772254,Coronaviridae,Middle East respiratory syndrome-related coronavirus,,Middle East respiratory syndrome,8,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,DENV-2,(+)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:19451286,Flaviviridae,Dengue virus,Dengue virus 2,Dengue fever,2,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,FLUAV,(-)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor allows for inhibition of T cell activation,PMID:16382464,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,HCoV-229E,(+)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID: 22046132,Coronaviridae,Human coronavirus 229E,,Common cold,8,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,HCoV-NL63,(+)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID: 22046132,Coronaviridae,Human coronavirus NL63,,Respiratory tract infection,8,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,RVFV,(-)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:29698664,Phenuiviridae,Rift Valley fever phlebovirus,,Rift Valley fever,23,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID: 22046132,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,,Severe acute respiratory syndrome,8,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,VACV,dsDNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:9472618,Poxviridae,Vaccinia virus,,No disease in human,5,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,VSV,(-)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:12810862,Rhabdoviridae,Indiana vesiculovirus,,Vesicular stomatitis,11,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,WNV,(+)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:19451286,Flaviviridae,West Nile virus,,West Nile fever,2,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,YFV,(+)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:19451286,Flaviviridae,Yellow fever virus,,Yellow fever,2,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
Cyclosporine,Immunosuppressant,ZIKV,(+)ssRNA,*,,,,,,,,Human CYPs,Calcineurin inhibitor; allows for inhibition of T cell activation,PMID:27476412,Flaviviridae,Zika virus,,Zika virus disease,2,DB00091,5284373,PMATZTZNYRCHOR-CGLBZJNRSA-N,Approved,
DABMA,N/A,EBOV,(-)ssRNA,*,,,,,,,,Human GTPase,Prevents endosomal fusion/maturation,PMID: 31413797,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,N/A,N/A,N/A,Experimental,
DABMA,N/A,RABV,(-)ssRNA,*,,,,,,,,Human GTPase,Prevents endosomal fusion/maturation,PMID: 31413797,Rhabdoviridae,Rabies lyssavirus,,Rabies ,11,N/A,N/A,N/A,Experimental,
Daclatasvir,Antiviral,HCV,(+)ssRNA,,,,,,,*,,Viral NS5A,Blocks intracellular viral RNA synthesis,DrugBank ID: DB09102,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB09102,25154714,FKRSSPOQAMALKA-CUPIEXAXSA-N,Approved,
Daclatasvir,Antiviral,SARS-CoV-2,(+)ssRNA,,,,*,,,,,Viral NS5A,Blocks intracellular viral RNA synthesis,PMID: 33071519,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB09102,25154714,FKRSSPOQAMALKA-CUPIEXAXSA-N,Approved,
Dalbavancin,Antibiotic,SARS-CoV-2,(+)ssRNA,,,*,,,,,,Unknown,N/A,PMID: 33262453,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB06219,23724878,KGPGQDLTDHGEGT-VBZOGQDBSA-N,Approved,
Dalbavancin,Antibiotic,EBOV,(-)ssRNA,*,,,,,,,,Unknown,N/A,PMID:26953343,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,DB06219,23724878,KGPGQDLTDHGEGT-VBZOGQDBSA-N,Approved,
Dalbavancin,Antibiotic,ECHOV-1,(+)ssRNA,*,,,,,,,,Unknown,N/A,PMID:29698664,Picornaviridae,Enterovirus B,Echovirus E1,"Mild symptoms, meningitis",9,DB06219,23724878,KGPGQDLTDHGEGT-VBZOGQDBSA-N,Approved,
Dalbavancin,Antibiotic,MERS-CoV,(+)ssRNA,*,,,,,,,,Unknown,N/A,PMID:26953343,Coronaviridae,Middle East respiratory syndrome-related coronavirus,,Middle East respiratory syndrome,8,DB06219,23724878,KGPGQDLTDHGEGT-VBZOGQDBSA-N,Approved,
Dalbavancin,Antibiotic,SARS-CoV,(+)ssRNA,*,,,,,,,,Unknown,N/A,PMID:26953343,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,,Severe acute respiratory syndrome,8,DB06219,23724878,KGPGQDLTDHGEGT-VBZOGQDBSA-N,Approved,
Dalbavancin,Antibiotic,ZIKV,(+)ssRNA,*,,,,,,,,Unknown,N/A,PMID:27476412,Flaviviridae,Zika virus,,Zika virus disease,2,DB06219,23724878,KGPGQDLTDHGEGT-VBZOGQDBSA-N,Approved,
Dapivirine,Antiviral,HIV-1,ssRNA-RT,,,,,,,,*,Viral RT,Non-nucleoside RT inhibitor,PMID: 33181534,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB08639,214347,ILAYIAGXTHKHNT-UHFFFAOYSA-N,Investigational,
Dapivirine,Antiviral,FLUAV,(-)ssRNA,*,,,,,,,,Unknown,Non-nucleoside RT inhibitor,PMID: 28778830,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB08639,214347,ILAYIAGXTHKHNT-UHFFFAOYSA-N,Investigational,
Dapivirine,Antiviral,FLUBV,(-)ssRNA,*,,,,,,,,Unknown,Non-nucleoside RT inhibitor,PMID: 28778830,Orthomyxoviridae,Influenza B virus,,Influenza,34,DB08639,214347,ILAYIAGXTHKHNT-UHFFFAOYSA-N,Investigational,
Darunavir,Antiviral,HIV-1,ssRNA-RT,,,,,,,*,,Viral protease,HIV protease inhibitor,DrugBank ID: DB01264,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB01264,213039,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,Approved,
Darunavir,Antiviral,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Viral protease,HIV protease inhibitor,PMID: 33243253,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB01264,213039,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,Approved,
Dasatinib,Anticancer,HIV-1,ssRNA-RT,*,,,,,,,,Human PTK,Abl; Src; Kit; EphR... Inhibitor,PMID:26851491,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB01254,3062316,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Approved,
Dasatinib,Anticancer,MERS-CoV,(+)ssRNA,*,,,,,,,,Human PTK,Abl; Src; Kit; EphR... Inhibitor,PMID: 24841273,Coronaviridae,Middle East respiratory syndrome-related coronavirus,,Middle East respiratory syndrome,8,DB01254,3062316,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Approved,
Dasatinib,Anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Human PTK,Abl; Src; Kit; EphR... Inhibitor,PMID: 24841273,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,,Severe acute respiratory syndrome,8,DB01254,3062316,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Approved,
Dexelvucitabine,Antiviral,HIV-1,ssRNA-RT,,,,*,,,,,Viral RT,Nucleoside RT inhibitor,PMID: 15456084,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB12470,64973,HSBKFSPNDWWPSL-CAHLUQPWSA-N,Investigational,
Dexelvucitabine,Antiviral,HBV,dsDNA-RT,,,*,,,,,,Viral RT,Nucleoside RT inhibitor,PMID: 12534778,Hepadnaviridae,Hepatitis B virus,,Hepatitis B,35,DB12470,64973,HSBKFSPNDWWPSL-CAHLUQPWSA-N,Investigational,
Dibucaine,Anticancer,HCV,(+)ssRNA,*,,,,,,,,Human (multiple),N/A,PMID:31636628,Flaviviridae,Hepacivirus C,,Hepatitis C,2,DB00527,3025,PUFQVTATUTYEAL-UHFFFAOYSA-N,Approved,
Dibucaine,Anticancer,CVB-3,(+)ssRNA,*,,,,,,,,Human (multiple),N/A,PMID:26856848,Picornaviridae,Enterovirus B,Coxsackievirus B3,Fever; headache; sore throat; gastroenteritis; pericarditis; myocarditis,9,DB00527,3025,PUFQVTATUTYEAL-UHFFFAOYSA-N,Approved,
Dibucaine,Anticancer,EV-A71,(+)ssRNA,*,,,,,,,,Human (multiple),N/A,PMID:26856848,Picornaviridae,Enterovirus A,Enterovirus A71,"Acute flaccid myelitis (polio-like disorder); Gastroenteritis; Hand, foot, and mouth disease",9,DB00527,3025,PUFQVTATUTYEAL-UHFFFAOYSA-N,Approved,
Dibucaine,Anticancer,EV-D68,(+)ssRNA,*,,,,,,,,Human (multiple),N/A,PMID:26856848,Picornaviridae,Enterovirus D,Enterovirus D68,"Acute flaccid myelitis (polio-like disorder); Gastroenteritis; Hand, foot, and mouth disease",,DB00527,3025,PUFQVTATUTYEAL-UHFFFAOYSA-N,Approved,
Didanosine,Antiviral,HIV-1,ssRNA-RT,,,,,,,*,,Viral RT,Viral DNA chain termination,DrugBank ID: DB00900,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB00900,135398739,BXZVVICBKDXVGW-NKWVEPMBSA-N,Approved,
Didanosine,Antiviral,HSV-1,dsDNA,*,,,,,,,,Viral DNA pol,Viral DNA chain termination,PMID: 32096195,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB00900,135398739,BXZVVICBKDXVGW-NKWVEPMBSA-N,Approved,
Diltiazem,Antianginal; Treatment of cardiac conditions,FLUAV,(-)ssRNA,,,*,,,,,,Human ion channel,Viral protease inhibitor,PMID: 29779930,Orthomyxoviridae,Influenza A virus,,Influenza,34,DB00343,39186,HSUGRBWQSSZJOP-RTWAWAEBSA-N,Approved,
Diltiazem,Antianginal; Treatment of cardiac conditions,HRV-A2,(+)ssRNA,*,,,,,,,,Human ion channel,Viral protease inhibitor,PMID: 16054245,Picornaviridae,Rhinovirus A,Rhinovirus A2,Common cold ,86,DB00343,39186,HSUGRBWQSSZJOP-RTWAWAEBSA-N,Approved,
Diltiazem,Antianginal; Treatment of cardiac conditions,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Human ion channel,Viral protease inhibitor,PMID: 32887884,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB00343,39186,HSUGRBWQSSZJOP-RTWAWAEBSA-N,Approved,
Diphenhydramine,Antihistamine,EBOV,(-)ssRNA,*,,,,,,,,Human histamine receptor,Prevent viral entry,PMID: 29981374,Filoviridae,Zaire ebolavirus,Ebola virus,Ebola hemorrhagic fever,3,DB01075,3100,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,Approved,
Diphenhydramine,Antihistamine,MARV,(-)ssRNA,*,,,,,,,,Human histamine receptor,Prevent viral entry,PMID: 29981374,Filoviridae,Marburg marburgvirus,Marburg virus,Marburg hemorrhagic fever,3,DB01075,3100,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,Approved,
Diphenhydramine,Antihistamine,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Human histamine receptor,Prevent viral entry,PMID: 33309272,Coronaviridae,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus 2,COVID-19,8,DB01075,3100,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,Approved,
Docosanol,Antiviral,HSV-1,dsDNA,,,,,,,*,,Viral glycoprotein,Inhibition of fusion,DrugBank ID: DB00194,Herpesviridae,Human alphaherpesvirus 1,,Cold sores,12,DB00632,12620,NOPFSRXAKWQILS-UHFFFAOYSA-N,Approved,
Docosanol,Antiviral,HSV-2,dsDNA,,,,,,,*,,Viral glycoprotein,Inhibition of fusion,PMID: 1660151,Herpesviridae,Human alphaherpesvirus 2,,Genital herpes,12,DB00632,12620,NOPFSRXAKWQILS-UHFFFAOYSA-N,Approved,
Docosanol,Antiviral,KSHV,dsDNA,,,,,*,,,,Viral glycoprotein,Inhibition of fusion,PMID: 11177381,Herpesviridae,Human gammaherpesvirus 8,,Kaposi's sarcoma,12,DB00632,12620,NOPFSRXAKWQILS-UHFFFAOYSA-N,Approved,
Docosanol,Antiviral,HIV-1,ssRNA-RT,,*,,,,,,,Viral glycoprotein,Inhibition of fusion,PMID: 8825621,Retroviridae,Human immunodeficiency virus 1,,Acquired immune deficiency syndrome,33,DB00632,12620,NOPFSRXAKWQILS-UHFFFAOYSA-N,Approved,
Docosanol,Antiviral,RSV,(-)ssRNA,,*,,,,,,,Viral glycoprotein,Inhibition of fusion,PMID: 1660151,Pneumoviridae,Human orthopneumovirus,,Lower respiratory tract infections,24,DB00632,12620,NOPFSRXAKWQILS-UHFFFAOYSA-N,Approved,
Docosanol,Antiviral,CMV,dsDNA,*,,,,,,,,Viral glycoprotein,Inhibition of fusion,PMID: 11177381,Herpesviridae,Human betaherpesvirus 5,,Mononucleosis-like illness,12,DB00632,12620,NOPFSRXAKWQILS-UHFFFAOYSA-N,Approved,
Docosanol,Antiviral,HHV-6,dsDNA,*,,,,,,,,Viral glycoprotein,Inhibition of fusion,PMID: 11177381,Herpesviridae,Human betaherpesvirus 6,,Exanthema subitum,12,DB00632,12620,NOPFSRXAKWQILS-UHFFFAOYSA-N,Approved,
Doxycycline,Antibiotic,CHIKV,(+)ssRNA,*,,*,,,,,,Unknown,,PMID:25970853,Togaviridae,Chikungunya virus,,Chikungunya fever,6,DB00254,54671203,JBIWCJUYHHGXTC-AKNGSSGZSA-N,Approved,
